"course","title"
"http://is-concordia.io/BLDG6071","Wind Engineering and Building Aerodynamics"
"http://is-concordia.io/CLAS392","Intermediate Latin II: Poetry"
"http://is-concordia.io/JOUR532","Documentary Video and Radio"
"http://is-concordia.io/FBRS481","Professional Internship I"
"http://is-concordia.io/PERC496","Performance Creation Field School"
"http://is-concordia.io/CLAS421","Advanced Latin II: Poetry"
"http://is-concordia.io/MARK451","Marketing of Services"
"http://is-concordia.io/ACCO650","Financial Reporting in Practice"
"http://is-concordia.io/BLDG6601","Building Enclosure"
"http://is-concordia.io/HIST387","Selected Topics in Public History"
"http://is-concordia.io/SCOL391","Directed and Independent Study II"
"http://is-concordia.io/PRIN481","Professional Internship"
"http://is-concordia.io/COMS407","Scriptwriting for the Media"
"http://is-concordia.io/COMP5511","Principles of Data Structures"
"http://is-concordia.io/COMP376","Introduction to Game Development"
"http://is-concordia.io/SCUL396","Digital Sculpture"
"http://is-concordia.io/BLDG6861","Simulations and Design of Construction Operations"
"http://is-concordia.io/MANA447","Leadership and Motivation"
"http://is-concordia.io/PRIN399","Special Topics in Print Media"
"http://is-concordia.io/CIVI321","Engineering Materials"
"http://is-concordia.io/BIOL227","Laboratory Studies in Biodiversity"
"http://is-concordia.io/MARA206","Introduction to Modern Standard Arabic II"
"http://is-concordia.io/CLAS391","Intermediate Latin I: Prose"
"http://is-concordia.io/COMS276","Communication Media: Sound I"
"http://is-concordia.io/POLI644","Research Methods"
"http://is-concordia.io/COEN6313","Programming on the Cloud"
"http://is-concordia.io/ECON680","Econometric Theory I"
"http://is-concordia.io/BLDG6731","Building Illumination"
"http://is-concordia.io/BLDG7601","Durability of Building Materials"
"http://is-concordia.io/SSDB425","Ethics and Community Engagement"
"http://is-concordia.io/ECON319","International Economic Policy and Institutions"
"http://is-concordia.io/CHEM335","Biophysical Chemistry"
"http://is-concordia.io/MARK671","Consumer Behaviour"
"http://is-concordia.io/AHSC384","Therapeutic Recreation: Cognitive Disabilities and Illness"
"http://is-concordia.io/DFTT337","Scene Painting Realization"
"http://is-concordia.io/CLAS410","Advanced Ancient Greek I: Prose"
"http://is-concordia.io/CATA337","Assessment of the Upper and Lower Extremities"
"http://is-concordia.io/COEN6341","Embedded System Modelling"
"http://is-concordia.io/FRAA413","Rédaction"
"http://is-concordia.io/PRIN231","Screen Printing I"
"http://is-concordia.io/BIOL515","Biotechnology and Genomics Laboratory"
"http://is-concordia.io/INSE6260","Software Quality Assurance"
"http://is-concordia.io/FTRA632","Initiation à la traduction générale Co-listé : FTRA 532"
"http://is-concordia.io/CATA475","Athletic Therapy Clinical Internship I"
"http://is-concordia.io/ELEC331","Fundamentals of Electrical Power Engineering"
"http://is-concordia.io/PERC384","Performance Creation Studio 11: Collaborative Practice"
"http://is-concordia.io/FBRS385","Issues in Material Practices"
"http://is-concordia.io/PRIN381","Aspects of Print Media"
"http://is-concordia.io/CHEM205","General Chemistry I"
"http://is-concordia.io/MECH6511","Mechanical Forming of Metals"
"http://is-concordia.io/FTRA686","Projet de mémoire"
